Title,Discription,Genre
Dedicada A Mi Ex,the film tell the stori of ariel a 21yearold who decid to form a rock band to compet for a prize of ten thousand dollar in a music band contest thi as a last option when tri to get money to save their relationship and reunit with hi girlfriend which break due to the trip she must make to finland for an internship ariel with her friend omega decid to make a cast to find the other member of the band although they do not know noth about music thu form a band with member that have divers and opposit person,"Comedy, Drama"
劇場版 ヴァイオレット・エヴァーガーデン,as the world move on from the war and technolog advanc bring chang to her life violet still hop to see her lose command offic again,"Animation, Drama, Fantasy, Romance"
天国と地獄,a shoe compani execut who have mortgag everyth he have becom a victim of extort when hi chauffeur son be kidnap and be conflict over whether he should pay the ransom,"Crime, Drama, Mystery, Thriller"
Back to the Future,eighti teenag marti fli be accident send back in time to 1955 inadvert disrupt hi parent first meet and attract hi mother romant interest marti must repair the damag to histori by rekindl hi parent romanc and with the help of hi eccentr inventor friend doc brown return to 1985,"Adventure, Comedy, Science Fiction"
Léon: The Professional,lion the top hit man in new york have earn a rep as an effect cleaner but when hi nextdoor neighbor be wipe out by a loosecannon dea agent he becom the unwil custodian of 12yearold matilda befor long matilda thought turn to reveng and she consid follow in lion footstep,"Action, Crime, Drama"
Dead Poets Society,at an elit oldfashion board school in new england a passion english teacher inspir hi student to rebel against convent and seiz the potenti of everi day court the disdain of the stern headmast,Drama
Le Trou,four prison inmat have be hatch a plan to liter dig out of jail when anoth prison claud bastard be move into their cell they take a risk and share their plan with the newcom over the cours of three day the prison and friend break through the concret floor use a bed post and begin to make their way through the sewer system yet their escap be anyth but assur,"Crime, Drama, Thriller"
City Lights,in thi sounder silent film a tramp fall in love with a beauti blind flower seller,"Comedy, Drama, Romance"
Modern Times,a bumbl tramp desir to build a home with a young woman yet be thwart time and time again by hi lack of experi and habit of be in the wrong place at the wrong time,"Comedy, Drama"
PERFECT BLUE,pop singer mama kirigow look forward to a bright new career when she quit her charttop trio to becom an actress when she land a role in a sexual charg murder mysteri mama 's life begin to fall apart,"Animation, Thriller"
シン・エヴァンゲリオン劇場版:||,in the aftermath of the fourth impact strand without their evangelin shinji asuka and rei find refug in one of the rare pocket of human that still exist on the ruin planet earth there each live a life far differ from their day as an evangelist pilot howev the danger to the world be far from over a new impact be loom on the horizon — one that will prove to be the true end of evangelist,"Action, Animation, Drama, Science Fiction"
Иди и смотри,the invas of a villag in byelorussia by german forc send young flora into the forest to join the weari resist fighter against hi famili wish there he meet a girl glass who accompani him back to hi villag on return home flora find hi famili and fellow peasant massacr hi continu surviv amidst the brutal debri of war becom increasingli nightmarish a battl between despair and hope,"Drama, War"
C'era una volta il West,as the railroad builder advanc unstopp through the arizona desert on their way to the sea jill arriv in the small town of flagston with the intent of start a new life,"Drama, Western"
Life in a Year,a 17 year old find out that hi girlfriend be die so he set out to give her an entir life in the last year she have leav,"Drama, Romance"
Apocalypse Now,at the height of the vietnam war captain benjamin willard be send on a danger mission that offici do not exist nor will it ever exist hi goal be to locat and elimin a mysteri green beret colonel name walter kurt who have be lead hi person armi on illeg guerrilla mission into enemi territori,"Drama, War"
Five Feet Apart,seventeenyearold stella spend most of her time in the hospit as a cystic fibrosi patient her life be full of routin boundari and selfcontrol i all of which get put to the test when she meet will an imposs charm teen who have the same ill there s an instant flirtat though restrict dictat that they must maintain a safe distanc between them as their connect intensifi so do the temptat to throw the rule out the window and embrac that attract,"Drama, Romance"
Intouchables,a true stori of two men who should never have meet i a quadripleg aristocrat who be injur in a paraglid accid and a young man from the project,"Comedy, Drama"
Paths of Glory,a command offic defend three scapegoat on trial for a fail offens that occur within the french armi in 1916,"Drama, War"
映画 ギヴン,the relationship between a band bassist their drummer and the drummer roommat and boyfriend who be a profession violinist,"Animation, Drama, Music, Romance"
