Title,Discription,Genre
Project Power,an soldier a teen and a cop collid in new orlean as they hunt for the sourc behind a danger new pill that grant user temporari superpow,"Action, Crime, Science Fiction"
Mr. Right,a girl fall for the perfect guy who happen to have a veri fatal flaw he s a hitman on the run from the crime cartel who employ him,"Action, Comedy, Crime, Romance"
The Secret of Moonacre,when 13 year old maria merryweath father die leav her orphan and homeless she be forc to leav her luxuri london life to go and live with sir benjamin an eccentr uncl she do n't know she have at the mysteri moonacr manor,"Adventure, Fantasy, Romance"
Blue Streak,mile logan be a jewel thief who just hit the big time by steal a huge diamond howev after two year in jail he come to find out that he hide the diamond in a polic build that be be build at the time of the robberi in an attempt to regain hi diamond he pose as an lapd detect,"Action, Comedy, Crime"
When a Man Loves a Woman,an airlin pilot and hi wife be forc to face the consequ of her alcohol when her addict threaten her life and their daughter safeti while the woman enter detox her husband must face the truth of hi enabl behavior,"Drama, Romance"
Beverly Hills Cop II,axel foley return to the land of sunshin and palm tree to investig the nearfat shoot of polic captain andrew bogomil with the help of set taggart and det rosewood they soon uncov that the shoot be associ with a seri of alphabet robberi mastermind by a heartless weapon kingpin — and the chase be on,"Action, Comedy, Crime"
Return of the Tooth Fairy,the tooth fairi be back 15 year after the event of the first movi corey now grow up but mental scar have go to a class reunion howev the tooth fairi be back and thi time you better have floss properli,Horror
A Most Wanted Man,a chechen muslim illeg immigr to hamburg and becom a person of interest for a covert govern team which track the movement of potenti terrorist,Thriller
In Hell,a man must surviv a prison where harden crimin battl to the death for the warden entertain,"Action, Drama, Thriller"
U-571,in the midst of world war ii the battl under the sea rag and the nazi have the upper hand as the alli be unabl to crack their war cod howev after a wreck boat send out an so signal the alli realis thi be their chanc to seiz the enigma cod machin,"Action, Drama, Thriller, War"
Unhinged,rachel be a divorc singl mother whose bad day get even wors she s run late to drop her son off at school when she honk her horn impati at a fellow driver dure rushhour traffic after an exchang of word she soon realiz that the mysteri man be follow her and her young son in hi truck a case of road rage quickli escal at horrifyingli psychot proport into fullblown terror as rachel discov the psychopath sinist plan for reveng he be singlehandedli determin to teach her a deadli lesson,"Action, Thriller"
Quartet,cissi reggi and will be in a home for retir musician everi year there be a concert to celebr compos giusepp versu birthday and they take part jean who use to be marri to reggi arriv at the home and disrupt their equilibrium she still act like a diva but she refus to sing still the show must go on and it do,"Comedy, Drama, Romance"
The Hangover Part II,the hangov crew head to thailand for stud we d after the disast of a bachelor parti in la vega last year stu be play it safe with a mellow pretend brunch howev noth go as plan and bangkok be the perfect set for anoth adventur with the rowdi group,Comedy
The Last House on the Left,a group of teenag girl head into the citi hook up with a gang of drugaddl neerdowel and be brutal murder the killer find their way to the home of one of their victim parent where both father and mother exact a horribl reveng,"Crime, Drama, Horror, Thriller"
It Could Happen to You,charli lang be a simpl kindheart new york citi cop when he realiz he have no money to tip waitress yvonn bia lang offer her half the win of hi lotteri ticket amazingli the ticket happen to be a winner in the sum of 4 million true to hi word lang proceed to share the prize money with bia which infuri hi greedi wife muriel not content with the arrang muriel begin scheme to take all the money,"Comedy, Drama, Romance"
Let's Be Cops,it the ultim buddi cop movi except for one thing there not cop when two struggl pal dress as polic offic for a costum parti they becom neighborhood sensat but when these newlymint hero get tangl in a real life web of mobster and dirti detect they must put their fake badg on the line,Comedy
Le Mystère Henri Pick,in a bizarr button librari that collect reject never publish manuscript a young editor discov a novel that she consid a masterpiec it be write by a certain henri pick a cook who die two year earlier and who accord to hi widow have never read a book in hi life or write anyth but a shop list do he have a secret life when the book becom a huge bestsel jean michel douch a skeptic and stubborn literari critic team up with josephin pick daughter to unravel the mysteri,"Comedy, Drama"
Wonder Woman 1984,a botch store robberi place wonder woman in a global battl against a power and mysteri ancient forc that put her power in jeopardi,"Action, Adventure, Fantasy"
Mayhem,a viru spread through an offic complex caus white collar worker to act out their worst impuls,"Action, Comedy, Horror"
The Invitation,will and hi new girlfriend kira be invit to a dinner with old friend at the hous of will ex eden and her new partner david although the even appear to be relax will soon get a creep suspicion that their charm host david be up to someth,"Horror, Thriller"
Where the Wild Things Are,max imagin run away from hi mom and sail to a payoff land where larg talk beast — ira carol dougla the bull judith and alexand — crown him as their king play rumpu build fort and discov secret hideaway,"Adventure, Drama, Family, Fantasy"
Twister,an unpreced seri of violent tornado be sweep across oklahoma tornado chaser head by do jo hard attempt to releas a groundbreak devic that will allow them to track them and creat a more advanc warn system they be join by job soon to be husband bill a former tornado chaser himself and hi girlfriend melissa,"Action, Adventure, Drama"
Single All the Way,desper to avoid hi famili 's judgment about hi perpetu singl statu peter convinc hi best friend nick to join him for the holiday and pretend that they 're now in a relationship but when peter 's mother set him up on a blind date with her handsom trainer jam the plan go awri,"Comedy, Romance"
The Twilight Saga: Breaking Dawn - Part 2,after the birth of renesme the cullen gather other vampir clan in order to protect the child from a fals alleg that put the famili in front of the vultur,"Adventure, Drama, Fantasy, Romance"
She's Out of My League,when he start date drop gorgeou molli insecur airport secur agent kirk ca nt believ it as hi friend and famili share their doubt about the relationship last kirk do everyth he can to avoid lose molli forev,"Comedy, Romance"
Courage Under Fire,a us armi offic who make a friendli fire mistak that be cover up have be reassign to a desk job he be task to investig a femal chopper command worthi to be award the medal of honor at first all seem in order but then he begin to notic inconsist between the testimoni of the wit,"Drama, Mystery, Thriller, War"
Assassins,assassin robert rath arriv at a funer to kill a promin mobster onli to wit a rival hire gun complet the job for him with grisli result horrifi by the murder of innoc bystand rath decid to take one last job and then return to civilian life but find hi way out of the world of contract kill grow ever more danger as rath fall for hi femal target and becom a mark man himself,"Action, Adventure, Crime, Thriller"
Lamborghini: The Man Behind the Legend,follow the launch of lamborghini ’s career as a manufactur of tractor a creator of militari vehicl dure world war ii and the design of lamborghini car which he launch in 1963 as the higher sport car compani automobil lamborghini,"Drama, History"
"Un peu, beaucoup, aveuglément",he invent puzzl he 's commit bodi and soul to hi work and need silenc to be abl to concentr she be an accomplish pianist and ca n't live without music she must prepar for a competit that could chang her life they be go to be forc to coexist without see each other,"Comedy, Drama, Romance"
Mr. Holmes,in 1947 longretir and near the end of hi life sherlock holm grappl with an unreli memori and must reli on hi housekeep son as he revisit the stillunsolv case that lead to hi retir,"Crime, Drama"
The Manchurian Candidate,year after hi squad be ambush dure the gulf war major ben marco find himself have terribl nightmar he begin to doubt that hi fellow squadmat sergeant raymond shaw now a vicepresidenti candid be the hero he rememb him be as marcu doubt deepen show polit power grow and when marco find a mysteri implant emb in hi back the memori of what realli happen begin to return,"Drama, Mystery, Thriller"
Sydney White,a modern retel of snow white set against student in their freshman year of colleg in the greek system,Comedy
All of Me,just befor stubborn millionair edwin cutter die she ask her uptight lawyer roger cobb to amend her will so that her soul will pass to the young vibrant terri hoskin i but the spiritu transfer go awri edwin enter roger bodi instead forc him to battl edwin for control of hi own be,"Comedy, Fantasy, Romance"
Les Combattants,fraud face an uncertain futur and a dearth of choic in a small french coastal town meet and fall for the apocalypticmind madelein who join an armi boot camp to learn militari and surviv skill to prepar for the upcom environment collaps intrigu and excit by madelein wild idea fraud sign up for the boot camp himself they soon realiz that the boot camp be harder than they 'd imagin but the experi nonetheless cement them togeth as the coupl continu to explor their young love,"Comedy, Romance"
Macbeth,featur film adapt of shakespear scottish play about gener macbeth whose ambiti wife urg him to use wick mean in order to gain power of the throne over the sit king duncan,"Drama, War"
Act of Valor,when a covert mission to rescu a kidnap cia oper uncov a chill plot an elit highli train us seal team speed to hotspot around the globe race against the clock to stop a deadli terrorist attack,"Action, Thriller, War"
Joe Kidd,a band of mexican find their u i land claim deni and all the record destroy in a courthous fire their leader loui champ encourag them to use forc to regain their land a wealthi landown want the same decid to hire a gang of killer with joe kind to track champ,Western
The Rocketeer,a stunt pilot come across a prototyp jetpack that give him the abil to fli howev evil forc of the world also want thi jetpack at ani cost,"Action, Adventure, Family, Science Fiction"
The Matrix Resurrections,plagu by strang memori news life take an unexpect turn when he find himself back insid the matrix,"Action, Adventure, Science Fiction"
The Kill Team,when andrew briggman — a young soldier in the us invas of afghanistan — wit other recruit kill innoc civilian under the direct of a sadist sergeant he consid report them to higherup howev the heavilyarm and increasinglyviol platoon becom suspici that someon in their rank have turn on them and andrew begin to fear that hell be the next target,"Action, Drama, War"
Calibre,two lifelong friend head up to an isol scottish highland villag for a weekend hunt trip that descend into a neverend nightmar as they attempt to cover up a horrif hunt accid,"Drama, Thriller"
Hardball,an aimless young man who be scalp ticket gambl and drink agre to coach a littl leagu team from the cabin green hous project in chicago as a condit of get a loan from a friend,Drama
Your Sister's Sister,iri invit her friend jack to stay at her famili island getaway after the death of hi brother at their remot cabin jack drunken encount with hannah iri sister kick off a reveal stretch of day,Comedy
Green Zone,dure the use occup of baghdad in 2003 chief warrant offic roy miller and hi team of armi inspector be dispatch to find weapon of mass destruct believ to be stockpil in the iraqi desert rocket from one boobytrap and treacher site to the next the men search for deadli chemic agent but stumbl instead upon an elabor coverup that threaten to invert the purpos of their mission,"Action, Adventure, Drama, Thriller, War"
Air Force One,when russian neonationalist hijack air forc one the world most secur and extraordinari aircraft the presid be face with a nearli imposs decis to give in to terrorist demand or sacrific not onli the countri digniti but the live of hi wife and daughter,"Action, Thriller"
The Fast and the Furious: Tokyo Drift,in order to avoid a jail sentenc sean swell head to tokyo to live with hi militari father in a lowest section of the citi shaun get catch up in the underground world of drift race,"Action, Crime, Drama, Thriller"
A California Christmas,with hi carefre lifestyl on the line a wealthi charmer pose as a ranch hand to get a hardwork farmer to sell her famili 's land befor christma,"Comedy, Drama, Romance"
Fair Game,wife and mother valeri place have a doubl life as a cia oper hide her vocat from famili and friend her husband joseph wilson write a controversi articl in the new york time refut stori about the sale of enrich uranium to iraq then valeri secret work and ident be leak to the press with her cover blow and other peopl endang valeri career and person life begin to unravel,"Drama, Thriller"
It Takes Two,ident 9yearold from veri differ background orphan amanda and wealthi alyssa meet at summer camp and decid to switch place and play matchmak between alyssa dad roger and the kind social worker who care for amanda,"Comedy, Family, Romance"
F/X,a movi special effect man be hire by a govern agenc to help stage the assassin of a well know gangster when the agenc doubl cross him he use hi special effect to trap the gangster and the corrupt agent,"Action, Thriller"
The Perfect Date,no beau no problem to earn money for colleg a high schooler creat a date app that let him act as a standin boyfriend,"Comedy, Romance"
The Personal History of David Copperfield,a fresh and distinct take on charl dicken semiautobiograph masterpiec the person histori of david copperfield set in the 1840 chronicl the life of it icon titl charact as he navig a chaotic world to find hi elus place within it from hi unhappi childhood to the discoveri of hi gift as a storytel and writer david 's journey be by turn hilari and tragic but alway full of life colour and human,Comedy
Ghost Stories,professor phillip goodman devot hi life to expos phoni psychic and fraudul supernatur shenanigan hi skeptic soon get put to the test when he receiv news of three chill and inexplic case disturb vision in an abandon asylum a car accid deep in the wood and the spirit of an unborn child even scarier each of the macabr stori seem to have a sinist connect to the professor own life,"Drama, Horror"
The Taking of Deborah Logan,what start as a poignant medic documentari about deborah loan descent into alzheim 's diseas and her daughter struggl as caregiv degener into a madden portray of dementia at it most frighten as hairrais event begin to plagu the famili and crew and an unspeak malevol threaten to tear the veri fabric of saniti from them all,"Horror, Mystery, Thriller"
Nick and Norah's Infinite Playlist,nick can not stop obsess over hi girlfriend tri until tri friend norah suddenli show interest in him at a club thu begin an odd night fill with up and down as the two keep run into tri and her new boyfriend while search for nora 's drunken friend carolin with help from nick band mat as the night wind down the two have to figur out what they want from each other,"Comedy, Drama, Music"
警察故事4之簡單任務,hong kong cop chan khaki return work with interpol to track down and arrest an illeg weapon dealer chan later realiz that thing be not as simpl as they appear and soon find himself to be a pawn of an organ pose as russian intellig,"Action, Adventure, Comedy, Crime, Drama, Thriller"
Malasaña 32,malasaña neighborhood madrid spain 1976 while polit turmoil ravag the street all over the countri the toledo famili arriv in the big citi and settl into their new apart they soon discov that they be not the onli one roam it corridor,"Drama, Horror"
Bride & Prejudice,a bollywood updat of jane austen classic tale in which mar bash be eager to find suitabl husband for her four unmarri daughter when the rich singl gentlemen ballad and darci come to visit the basi have high hop though circumst and boorish opinion threaten to get in the way of romanc,"Comedy, Drama, Romance"
The Adventures of Ichabod and Mr. Toad,the wind in the willow concis version of kenneth graham 's stori of the same name i thaddeu toad owner of toad hall be prone to fad such as the newfangl motor car thi desir for the veri latest land him in much troubl with the wrong crowd and it be up to hi friend mole rat and badger to save him from himself the legend of sleepi hollow retel of washington irv stori set in a tini new england town ichabod crane the new schoolmast fall for the town beauti katrina van tassel and the town bulli from bone decid that he be a littl too success and need convinc that katrina be not for him,"Animation, Family, Fantasy, Horror"
Big Daddy,a lazi law school grad adopt a kid to impress hi girlfriend but everyth do n't go as plan and he becom the unlik foster father,"Comedy, Drama"
Pontypool,when disc jockey grant jazzi report to hi basement radio station in the canadian town of pontypool he think it just anoth day at work but when he hear report of a viru that turn peopl into zombi jazzi barricad himself in the radio booth and tri to figur out a way to warn hi listen about the viru and it unlik mode of transmiss,"Horror, Mystery, Science Fiction"
A Futile and Stupid Gesture,in a life full of triumph and failur nation tampon cofound doug kenni build a comedi empir mold pop cultur in the 1970,Comedy
Blue Lagoon: The Awakening,two high school student becom strand on a tropic island and must reli on each other for surviv they learn more about themselv and each other while fall in love,"Adventure, Drama, Romance, TV Movie"
TRON: Legacy,sam flynn the techsavvi and dare son of kevin flynn investig hi father disappear and be pull into the grid with the help of a mysteri program name quarri sam quest to stop evil dictat clu from cross into the real world,"Action, Adventure, Science Fiction"
Reservation Road,two father live intersect when one of them be involv in a terribl and sudden hitandrun car accid that leav the other son dead in respons the two men react in unexpect way as a reckon loom in the near futur,"Crime, Drama, Thriller"
The Beach,twentysometh richard travel to thailand and find himself in possess of a strang map rumour state that it lead to a solitari beach paradis a tropic bliss excit and intrigu he set out to find it,"Adventure, Drama, Romance, Thriller"
Coming 2 America,princ keep offer be set to becom king of amanda when he discov he have a son he never know about in america i a street savvi queen nativ name label honor hi royal father die wish to groom thi son as the crown princ keep and semi set off to america onc again,Comedy
Light of My Life,parent and child journey through the outskirt of societi a decad after a pandem have wipe out half the world popul as a father struggl to protect hi child their bond — and the charact of human 's test,"Drama, Science Fiction"
Café Society,the stori of a young man who arriv in hollywood dure the 1930 hop to work in the film industri fall in love and find himself sweep up in the vibrant cafe societi that defin the spirit of the age,"Comedy, Drama, Romance"
捉妖记,young monster kid tri to make peac between the world of human and the world of the monster,"Adventure, Comedy, Fantasy"
Liberal Arts,newli singl 35 and uninspir by hi job jess fisher worri that hi best day be behind him but no matter how much he buri hi head in a book life keep pull jess back when hi favorit colleg professor invit him to campu to speak at hi retir dinner jess jump at the chanc he be prepar for the nostalgia of the din hall and dorm room the parti and poetri seminar what he do n't see come be dibbi i a beauti precoci classicalmusiclov sophomor dibbi awaken scari excit longdorm feel of possibl and connect that jess think he have buri forev,"Comedy, Drama, Romance"
Summer of Sam,dure the summer of 1977 a killer know as the son of sam keep all of new york citi on edg with a seri of brutal murder,"Crime, Drama, Thriller"
Idioterne,with hi first dogma film director lar von trier open up a complet new film platform with a mix of homevideo and documentari style the film tell the stori of a group of young peopl who have decid to get to know their “ inneridiot ” and thu not onli face and break their outer appear but also their inner,"Comedy, Drama"
Not Okay,an ambiti young woman desper for follow and fame fake a trip to pari to up her social media presenc when a terrifi incid take place in the real world and becom part of her imaginari trip her white lie becom a moral quandari that offer her all the attent she 's want,"Comedy, Drama"
The Meyerowitz Stories (New and Selected),an estrang famili gather togeth in new york for an event celebr the artist work of their father,"Comedy, Drama"
Miami Supercops,in 1978 20 million be steal from a detroit bank one of the robber be catch one be find dead and the third disappear the money be never find seven year later the robber who be catch be releas from jail he immedi go to miami onli to be find dead the next day now fbi agent doug bennet and steve forest have be call in to investig the case while pose as miami polic offic somewher in miami the third robber be hide with hi 20 million and he have a sevenyear head start on the author,"Action, Comedy"
Get Shorty,chili palmer be a miami mobster who get send by hi boss the psychopath bone carbon to collect a bad debt from harri him a hollywood produc who special in cheesi horror film when chili meet harri lead ladi the romant spark fli after pitch hi own life stori as a movi idea chili learn that be a mobster and be a hollywood produc realli be nt all that differ,"Comedy, Crime, Thriller"
Night Teeth,a colleg student moonlight as a chauffeur pick up two mysteri women for a night of partyhop across la but when he uncov their bloodthirsti intent — and their danger shadowi underworld — he must fight to stay aliv,"Action, Horror, Thriller"
Stir Crazy,new yorker skip donahu and harri monro have no job and no prospect so they decid to flee the citi and find work elsewher land job wear woodpeck costum to promot the open of a bank when their featheri costum be steal and use in a bank robberi they no longer have to worri about employ i there send to prison,Comedy
Fido,timmi robinson best friend in the whole wide world be a bigfoot tall rot zombi name fido but when fido eat the nextdoor neighbor mom and dad hit the roof and timmi have to go to the end of the earth to keep fido a part of the famili a boyandhisdog movi for grow up fido will rip your heart out,"Comedy, Drama, Horror, Romance"
Fame,a chronicl of the live of sever teenag who attend a new york high school for student gift in the perform art,"Drama, Music"
The Ninth Gate,an allexpensespaid intern search for a rare copi of the book the nine gate of the kingdom of shadow bring an unscrupul book dealer deep into a world of murder doubled and satan worship,"Horror, Mystery, Thriller"
La Llorona,accus of the genocid of mayan peopl retir gener enriqu be trap in hi mansion by massiv protest abandon by hi staff the indign old man and hi famili must face the devast truth of hi action and the grow sens that a wrath supernatur forc be target them for hi crime,"Drama, Horror, Thriller"
Love,murphi be an american live in pari who enter a highli sexual and emot charg relationship with the unstabl electro unawar of the seismic effect it will have on their relationship they invit their pretti neighbor into their bed,"Drama, Romance"
Marvel One-Shot: Item 47,benni and clair a downontheirluck coupl find a discard centauri weapon refer to as item 47,"Action, Fantasy, Science Fiction"
The Uninvited,anna return home after spend time in a psychiatr facil follow her mother tragic death and discov that her mother former nurs rachel have move into their hous and becom engag to her father soon after she learn thi shock news anna be visit by her mother ghost who warn her that rachel have evil intent,Horror
Vesper,after the collaps of earth ecosystem vesper a 13yearold girl struggl to surviv with her paralyz father meet a mysteri woman with a secret that forc vesper to use her wit strength and biohack abil to fight for the possibl of a futur,"Adventure, Drama, Science Fiction"
Death on the Nile,belgian sleuth hercul poirot egyptian vacat aboard a glamor river steamer turn into a terrifi search for a murder when a pictureperfect coupl idyl honeymoon be tragic cut short,"Crime, Mystery, Thriller"
Olaf's Frozen Adventure,olaf be on a mission to har the best holiday tradit for anna elsa and kristoff,"Adventure, Animation, Comedy, Family, Fantasy"
Rampage,primatologist davi okay share an unshak bond with georg the extraordinarili intellig silverback gorilla who have be in hi care sinc birth but a rogu genet experi go awri mutat thi gentl ape into a rag creatur of enorm size to make matter wors it 's soon discov there be other similarli alter anim as these newli creat alpha predat tear across north america destroy everyth in their path okay team with a discredit genet engin to secur an antidot fight hi way through an overcharg battlefield not onli to halt a global catastroph but to save the fearsom creatur that be onc hi friend,"Action, Adventure, Science Fiction"
Despicable Me 3,grub and hi wife luci must stop former be child star balthazar brat from achiev world domin,"Action, Adventure, Animation, Comedy, Family"
Last Knights,when an evil emperor execut their leader hi band of knight i bind by duti and honour i embark on a journey of vengeanc that will not come to an end until they ve destroy their mortal foe,"Action, Adventure"
Attack the Block,a teen gang in a south london hous estat must team up with the other resid to protect their neighbourhood from a terrifi alien invas,"Action, Comedy, Science Fiction"
Scream 4,sidney return home to woodsboro on the last stop of her book tour which bring about the return of ghost face and put her famili friend and the whole town in danger,"Horror, Mystery"
Notte prima degli esami,rome 1989 on the last day of school high school senior luca get in troubl when he take it all out on hat literatur teacher martinelli onli to discov he s go to be on the examin board for hi final dure a summer of fruitless studi luca fall in love with a girl he meet onc at a parti unawar that she s martinelli daughter the latter strang enough have just offer luca to prepar with him thi unlik cooper will teach both of them valuabl life lesson,Comedy
A Midsummer Night's Sex Comedy,a nutti inventor hi frustrat wife a philosoph cousin hi much younger fianc a randi doctor and a freethink nurs spend a summer weekend in and around a stun and possibl magic countri hous,"Comedy, Romance"
Mr. Harrigan's Phone,craig a young boy live in a small town befriend an older reclus billionair my harridan the two form a bond over book and an iphon but when the man pass away the boy discov that not everyth dead be go,"Drama, Horror, Mystery, Thriller"
Imperium,nate foster a young idealist fbi agent go undercov to take down a radic white supremaci terrorist group the bright upandcom analyst must confront the challeng of stick to a new ident while maintain hi real principl as he navig the danger underworld of white supremaci inspir by real event,"Crime, Drama, Mystery, Thriller"
Terminator: Dark Fate,decad after sarah connor prevent judgment day a lethal new termin be send to elimin the futur leader of the resist in a fight to save mankind battleharden sarah connor team up with an unexpect alli and an enhanc super soldier to stop the deadliest termin yet,"Action, Adventure, Science Fiction"
Safe House,a danger cia renegad resurfac after a decad on the run when the safe hous he s remand to be attack by mercenari a rooki oper escap with him now the unlik alli must stay aliv long enough to uncov who want them dead,"Action, Thriller"
His House,after make a harrow escap from cartoon south sedan a young refuge coupl struggl to adjust to their new life in a small english town that have an unspeak evil lurk beneath the surfac,"Horror, Thriller"
Small Time Crooks,a loser of a crook and hi wife strike it rich when a botch bank job cover busi becom a spectacular success,"Comedy, Crime"
Flightplan,fli at 40000 feet in a stateofth art aircraft that she help design kyle pratt 6yearold daughter julia vanish without a trace or do she no one on the plane believ julia be ever onboard and now kyle desper and alon can onli count on her own wit to unravel the mysteri and save her daughter,"Drama, Mystery, Thriller"
Operation Christmas Drop,while gather evid to support close a tropic us air forc base a congression aid warm to it gener captain,"Comedy, Family, Romance, TV Movie"
The Salvation,in 1870 america a peac american settler kill hi famili murder which unleash the furi of a notori gang leader hi cowardli fellow townspeopl then betray him forc him to hunt down the outlaw alon,"Drama, Western"
The Disappearance of Alice Creed,a rich man daughter be hold captiv in an abandon apart by two former convict who abduct her and hold her ransom in exchang for her father money,"Crime, Drama, Thriller"
Psycho II,after year of treatment at a mental institut for the crimin insan serial killer norman bat be final releas decid to move back into hi long mother infam old hous he soon find himself torment by her demand and begin to question hi own saniti,"Horror, Mystery, Thriller"
The Secret of My Success,bradley foster a welleduc kid from kansa have alway dream of make it big in new york but onc in new york he learn that job and girl be hard to get when bradley visit hi uncl howard prescott who run a multimilliondollar compani he be give a job in the compani mail room,Comedy
Shoot 'Em Up,a man name my smith deliv a woman babi dure a shootout and be then call upon to protect the newborn from the armi of gunmen,"Action, Comedy, Crime, Thriller"
The Boss Baby,a stori about how a new babi arriv impact a famili tell from the point of view of a delight unreli narrat a wildli imagin 7 year old name tim,"Animation, Comedy, Family"
Paulette,palett live alon in a hous project in the pari suburb with her meager pension she can no longer make end meet,"Comedy, Crime"
The Runaways,joan jet and cheri carri two rebelli teenag from southern california becom the frontwomen for the runaway the nowlegendari group that pave the way for futur gener of femal rocker under the svengalilik influenc of impresario kim fowler the band becom a huge success,"Drama, History, Music"
Revenge of the Nerds,at adam colleg the jock rule the school from their hous on high the alpha beta fratern so when a group of sociallychalleng misfit tri to go greek there instantli reject by everi hous on campu decid to start their own fratern to protect their outcast brother the campu nerd soon find themselv in a battl royal as the alpha beta tri to crush their new rival,Comedy
Eagle Eye,jerri shaw and rachel holloway be two stranger whose live be suddenli throw into turmoil by a mysteri woman they have never meet threaten their live and famili the unseen caller use everyday technolog to control their action and push them into increas danger as event escal jerri and rachel becom the countri justwant fugit and must figur out what be happen to them,"Action, Mystery, Thriller"
The Santa Clause,on christma eve divorc dad scott calvin and hi son discov santa clau have fall off their roof when scott take the rein of the magic sleigh he find he be now the new santa and must convinc a world of disbeliev includ himself,"Comedy, Drama, Family, Fantasy"
The Rundown,when travi the mouthi son of a crimin disappear in the amazon in search of a treasur artifact hi father send in beck who becom travi rival for the affect of mariana a mysteri brazilian woman with hi steeli disposit beck be a man of few word but it take him all the disciplin he can muster to work with travi to nab a tyrant who s after the same treasur,"Action, Adventure, Comedy, Thriller"
Casanova,with a reput for seduc member of the opposit sex regardless of their marit statu a notori woman discov a beauti who seem impervi to hi charm howev as he continu to pursu the indiffer ladi he find himself fall in love,"Adventure, Comedy, Drama, Romance"
Ingrid Goes West,ingrid becom obsess with a social network star name taylor sloan who seemingli have a perfect life but when ingrid decid to drop everyth and move west to be taylor friend her behaviour turn unsettl and danger,"Comedy, Drama"
The Whole Truth,a defens attorney work to get hi teenag client acquit of murder hi wealthi father,"Drama, Thriller"
Fack ju Göhte 2,my miller be not satisfi with hi new work at the goethegesamtschul the earli get up and correct exam annoy him director greater want to improv the imag of the goethegesamtschul becaus she want to be a symbol of the new compani to achiev thi she want to take away the partnership from the schillergymnasium with a thai school so my miller mar schnabelstedt and the job must go on a school trip to thailand,Comedy
Afflicted,two friend tour of europ take a dark turn when one of them contract a mysteri ill they race to find out what it be and how to cure it befor the sick consum him complet,"Horror, Thriller"
White House Down,capitol policeman john cale have just be deni hi dream job with the secret servic of protect presid jam sawyer not want to let down hi littl girl with the news he take her on a tour of the white hous when the complex be overtak by a heavili arm paramilitari group now with the nation govern fall into chao and time run out it up to cale to save the presid hi daughter and the countri,"Action, Drama, Thriller"
ドラゴンボールゼット 超スーパーサイヤ人じんだ孫そん悟ご空くう,a super namekian name slug come to invad earth but the i warrior do their best to stop slug and hi gang,"Action, Animation, Science Fiction"
The Aftermath,in the aftermath of world war ii a british colonel and hi wife be assign to live in hamburg dure the postwar reconstruct but tension aris with the german widow who live with them,"Drama, Romance, War"
刺客聶隱娘,a femal assassin receiv a danger mission to kill a polit leader in eighthcenturi china,"Action, Drama, History"
Jeune & Jolie,isabel a 17yearold student lose her virgin dure a quick holiday romanc when she return home she begin a secret life as a prostitut for a year,Drama
In & Out,a midwestern teacher question hi sexual after a former student make a comment about him at the academi award,Comedy
The Great Outdoors,it vacat time for outdoorsi chicago man chet riley along with hi wife conni and their two kid buck and ben but a seren weekend of fish at a wisconsin lakesid cabin get crash by conni obnoxi brotherinlaw roman craig hi wife kate and the coupl two daughter as the excurs wear on the ripley 's find themselv at odd with the stuffi craig famili,Comedy
Bean,childlik englishman my bean be an incompet watchman at the royal nation galleri after the museum board of director attempt to have him fire be block by the chairman who have take a like to bean they send him to lo angel to act as their ambassador for the unveil of a histor paint to humili him fool my bean must now success unveil the paint or risk hi and a hapless lo angel curat termin,"Adventure, Comedy, Family"
Jackie,an account of the day of first ladi jacquelin kennedi in the immedi aftermath of john i kennedi assassin in 1963,Drama
My Bloody Valentine,twenti year ago in the sleepi mine town of valentin bluff a fatal mine disast occur on valentin day while some of the crew be decor for a parti the sole survivor of the accid kill the remain crewmemb and warn the town not to celebr valentin day again when a group of teenag decid to defi that order a murder maniac in mine gear begin dispatch townsfolk in bloodi and creativ way,"Horror, Mystery, Thriller"
The Deep End of the Ocean,a threeyearold boy disappear dure hi mother high school reunion nine year later by chanc he turn up in the town in which the famili have just reloc,"Drama, Mystery"
Confessions of a Shopaholic,in the glamor world of new york citi rebecca bloomwood be a unlov girl who be realli good at shop a littl too good perhap she dream of work for her favorit fashion magazin but ca nt quit get her foot in the door until iron she snag a job as an advic columnist for a financi magazin publish by the same compani,"Comedy, Romance"
Mindhunters,traine in the fbi psycholog profil program must put their train into practic when they discov a killer in their midst base veri loos on agatha christi and then there be none,"Crime, Mystery, Thriller"
Twilight Zone: The Movie,1959 friday night we timetravel wit surpris twist entertain alien experi fear and first journey to the twilight zone of rod serv memor to seri and guid by four imagin moviemak we travel there again in 1983 director john landi steven spielberg joe dant and georg miller fashion stori base on or inspir by classic episod landi weav the tale of a bigot who get a wallop dose of hi own hatr spielberg take over with a fabl of senior citizen offer a magic rejuven dant serv up a terror trip with a child who use hi cartooninspir power to enslav hi famili then fright go aloft with miller final about a neurot passeng who see a monster on the jetlin wing or do he,"Fantasy, Horror, Science Fiction"
"Angus, Thongs and Perfect Snogging",georgia colson be fourteen live with nosey parent who do nt understand her an annoy three year old sister and have to wear a beret to school she would howev rather be blond have a smaller nose and a boyfriend revolv around her hilari journal entri prepar to be engulf in the world of the soar joy and bottomless angst of be a teenag,"Comedy, Drama, Family, Romance"
